    153441
    0.6417 VVF   -2.373 0.5      0.000 1.5 15582939.00  12.11() 1s     () 8p    
    0.6449 VVF   -2.192 0.5      0.000 1.5 15507313.00  12.11() 1s     () 7p    
    0.6449 VVF   -2.495 0.5      0.000 0.5 15507136.00  12.11() 1s     () 7p    
    0.6497 VVF   -1.983 0.5      0.000 1.5 15390789.00  12.11() 1s     () 6p    
    0.6497 VVF   -2.284 0.5      0.000 0.5 15390506.00  12.11() 1s     () 6p    
    0.6580 VVF   -1.730 0.5      0.000 1.5 15197527.00  12.11() 1s     () 5p    
    0.6580 VVF   -2.032 0.5      0.000 0.5 15197039.00  12.11() 1s     () 5p    
    0.6635 VVF   -0.818 0.0      0.000 1.0 15072141.00  13.111s2       1s 3p    
    0.6648 VVF   -0.121 0.0      0.000 1.0 15042040.00  14.121s2       1s 2p    
    0.6738 VVF   -1.413 0.5      0.000 1.5 14841734.00  12.11() 1s     () 4p    
    0.6738 VVF   -1.714 0.5      0.000 0.5 14840780.00  12.11() 1s     () 4p    
    0.6787 VVF   -1.556 0.5      0.000 1.5 14734000.00  26.231s2 2s    1s2 6p   
    0.6787 VVF   -1.859 0.5      0.000 0.5 14734000.00  26.231s2 2s    1s2 6p   
    0.7104 VVF   -2.496 0.0      0.000 1.0 14077192.00  12.101s2       1s10p    
    0.7106 VVF   -0.977 0.5      0.000 1.5 14073061.00  12.11() 1s     () 3p    
    0.7107 VVF   -1.279 0.5      0.000 0.5 14070801.00  12.11() 1s     () 3p    
    0.7119 VVF   -2.357 0.0      0.000 1.0 14046070.00  12.101s2       1s 9p    
    0.7141 VVF   -2.200 0.0      0.000 1.0 14002566.00  12.101s2       1s 8p    
    0.7169 VVF   -1.274 0.5      0.000 1.5 13949000.00  26.231s2 2s    1s2 5p   
    0.7169 VVF   -1.578 0.5      0.000 0.5 13949000.00  26.231s2 2s    1s2 5p   
    0.7171 VVF   -0.256 0.5      0.000 1.5 13945218.00  13.12() 1s     () 2p    
    0.7174 VVF   -2.021 0.0      0.000 1.0 13939122.00  12.101s2       1s 7p    
    0.7176 VVF   -0.556 0.5      0.000 0.5 13934704.00  13.12() 1s     () 2p    
    0.7225 VVF   -1.815 0.0      0.000 1.0 13841392.00  12.101s2       1s 6p    
    0.7310 VVF   -1.564 0.0      0.000 1.0 13679363.00  12.101s2       1s 5p    
    0.7472 VVF   -1.135 0.0      0.000 1.0 13383000.00  26.222s2       2s 5p    
    0.7473 VVF   -1.248 0.0      0.000 1.0 13381265.00  12.101s2       1s 4p    
    0.7596 VVF   -2.670 0.5      0.000 1.5 13164857.00  11.10() 1s     ()10p    
    0.7596 VVF   -2.971 0.5      0.000 0.5 13164814.00  11.10() 1s     ()10p    
    0.7614 VVF   -2.529 0.5      0.000 1.5 13133698.00  11.10() 1s     () 9p    
    0.7614 VVF   -2.831 0.5      0.000 0.5 13133639.00  11.10() 1s     () 9p    
    0.7639 VVF   -2.373 0.5      0.000 1.5 13090137.00  11.10() 1s     () 8p    
    0.7639 VVF   -2.674 0.5      0.000 0.5 13090053.00  11.10() 1s     () 8p    
    0.7677 VVF   -2.192 0.5      0.000 1.5 13026597.00  11.10() 1s     () 7p    
    0.7677 VVF   -2.495 0.5      0.000 0.5 13026471.00  11.10() 1s     () 7p    
    0.7735 VVF   -1.983 0.5      0.000 1.5 12928693.00  11.10() 1s     () 6p    
    0.7735 VVF   -2.284 0.5      0.000 0.5 12928494.00  11.10() 1s     () 6p    
    0.7757 VVF   -0.125 0.0      0.000 1.0 12891081.00  13.111s2       1s 2p    
    0.7833 VVF   -1.730 0.5      0.000 1.5 12766317.00  11.10() 1s     () 5p    
    0.7833 VVF   -2.032 0.5      0.000 0.5 12765972.00  11.10() 1s     () 5p    
    0.7851 VVF   -0.821 0.0      0.000 1.0 12738006.00  12.101s2       1s 3p    
    0.7986 VVF   -0.889 0.5      0.000 1.5 12522000.00  26.231s2 2s    1s2 4p   
    0.7996 VVF   -1.191 0.5      0.000 0.5 12506000.00  26.231s2 2s    1s2 4p   
    0.8021 VVF   -1.413 0.5      0.000 1.5 12467386.00  11.10() 1s     () 4p    
    0.8021 VVF   -1.714 0.5      0.000 0.5 12466714.00  11.10() 1s     () 4p    
    0.8303 VVF   -0.747 0.0      0.000 1.0 12044000.00  26.222s2       2s 4p    
    0.8419 VVF   -0.256 0.5      0.000 1.5 11877599.00  12.11() 1s     () 2p    
    0.8425 VVF   -0.556 0.5      0.000 0.5 11869972.00  12.11() 1s     () 2p    
    0.8459 VVF   -0.977 0.5      0.000 1.5 11821559.00  11.10() 1s     () 3p    
    0.8460 VVF   -1.279 0.5      0.000 0.5 11819965.00  11.10() 1s     () 3p    
    0.8467 VVF   -1.627 0.0      0.000 1.0 11810000.00  26.202s2 2p2   2s2 2p 5 
    0.8521 VVF   -1.755 1.0  73850.000 1.0 11810000.00  26.202s2 2p2   2s2 2p 5 
    0.8542 VVF   -2.498 0.0      0.000 1.0 11707327.00  11.091s2       1s10p    
    0.8552 VVF   -1.535 2.0 117353.000 1.0 11810000.00  26.202s2 2p2   2s2 2p 5 
    0.8558 VVF   -0.522 2.0 117353.000 3.0 11802000.00  26.202s2 2p2   2s2 2p 5 
    0.8560 VVF   -2.357 0.0      0.000 1.0 11681612.00  11.091s2       1s 9p    
    0.8573 VVF   -1.146 0.0      0.000 1.0 11665000.00  26.202s2 2p2   2s2 2p 5 
    0.8587 VVF   -2.201 0.0      0.000 1.0 11645667.00  11.091s2       1s 8p    
    0.8626 VVF   -2.022 0.0      0.000 1.0 11593248.00  11.091s2       1s 7p    
    0.8627 VVF   -1.275 1.0  73850.000 1.0 11665000.00  26.202s2 2p2   2s2 2p 5 
    0.8660 VVF   -2.452 2.0 117353.000 1.0 11665000.00  26.202s2 2p2   2s2 2p 5 
    0.8686 VVF   -1.815 0.0      0.000 1.0 11512505.00  11.091s2       1s 6p    
    0.8788 VVF   -1.565 0.0      0.000 1.0 11378646.00  11.091s2       1s 5p    
